Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 ANCHTEN1	 ANCHTEN2	 ANCHTEN3	 
11.4	 73.1031	 45.6847	 45.6847	 73.0935	 45.6738	 45.6738	 
11.5	 73.0801	 45.6992	 45.6992	 73.0667	 45.6914	 45.6914	 
11.6	 73.033	 45.7388	 45.7388	 73.0247	 45.727	 45.727	 
11.7	 73.0122	 45.7602	 45.7602	 73.0038	 45.7483	 45.7483	 
11.8	 73.02	 45.7533	 45.7533	 73.0137	 45.7399	 45.7399	 
11.9	 73.0501	 45.7247	 45.7247	 73.0399	 45.7144	 45.7144	 
12	 73.0718	 45.706	 45.706	 73.0625	 45.6949	 45.6949	 
12.1	 73.0976	 45.6896	 45.6896	 73.0875	 45.6792	 45.6792	 
12.2	 73.1114	 45.6812	 45.6812	 73.1016	 45.6706	 45.6706	 
12.3	 73.104	 45.6841	 45.6841	 73.0937	 45.6737	 45.6737	 
12.4	 73.0788	 45.7003	 45.7003	 73.0689	 45.6897	 45.6897	 
12.5	 73.0348	 45.737	 45.737	 73.0286	 45.7235	 45.7235	 
12.6	 73.0113	 45.7604	 45.7604	 73.0069	 45.7453	 45.7453	 
12.7	 73.018	 45.7548	 45.7548	 73.0131	 45.7402	 45.7402	 
12.8	 73.0487	 45.7259	 45.7259	 73.0405	 45.7141	 45.7141	 
12.9	 73.0685	 45.7085	 45.7085	 73.0612	 45.6957	 45.6957	 
13	 73.0936	 45.6922	 45.6922	 73.0858	 45.68	 45.68	 
13.1	 73.1076	 45.6839	 45.6839	 73.1001	 45.6715	 45.6715	 
13.2	 73.1036	 45.6844	 45.6844	 73.0943	 45.6732	 45.6732	 
13.3	 73.0789	 45.7003	 45.7003	 73.07	 45.6889	 45.6889	 
13.4	 73.0407	 45.7319	 45.7319	 73.032	 45.7205	 45.7205	 
13.5	 73.0139	 45.7577	 45.7577	 73.0072	 45.7445	 45.7445	 
13.6	 73.0189	 45.7539	 45.7539	 73.0131	 45.74	 45.74	 
13.7	 73.048	 45.7266	 45.7266	 73.0388	 45.7156	 45.7156	 
13.8	 73.067	 45.7097	 45.7097	 73.0596	 45.697	 45.697	 
13.9	 73.0923	 45.6928	 45.6928	 73.0832	 45.6816	 45.6816	 
14	 73.1076	 45.6835	 45.6835	 73.0972	 45.6734	 45.6734	 
14.1	 73.1047	 45.6836	 45.6836	 73.0941	 45.6734	 45.6734	 
